"sample_id","species_code","abundance","sample_type","Species","seed.mass","mean_abundance","X","X.1"
"dt 10","LUSU",0.075162,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 10","MEIM",0,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 10","MURI",0,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 10","PHCI",0,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 10","PLER",0,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 10","POSE",0.057403,"year0","Poa secunda",0.00057,0,NA,NA
"dt 10","RACA",0.058115,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 10","SIBE",0,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 10","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 10","STPU",0,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 10","TRWI",0,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 11","ACAM",0.174682,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 11","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 11","ACST",0.079603,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 11","AMME",0.070668,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 11","ARPU",0,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 11","ASFA",0,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 11","BRCA",0,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 11","CAME",0,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 11","CIOC",0.197323,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 11","DEFA",0,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 11","ELCO",0,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 11","ELGL",0,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 11","ESCA",0,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 11","FEMI",0,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 11","GRCA",0,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 11","HOBR",0.09195,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 11","HOIN",0.185957,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 11","KOMA",0,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 11","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 11","LUBI",0,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 11","LUMI",0,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 11","LUSU",0,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 11","MEIM",0.059229,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 11","MURI",0,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 11","PHCI",0.046594,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 11","PLER",0,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 11","POSE",0.032723,"year0","Poa secunda",0.00057,0,NA,NA
"dt 11","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 11","SIBE",0.061271,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 11","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 11","STPU",0,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 11","TRWI",0,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 12","ACAM",0,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 12","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 12","ACST",0,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 12","AMME",0.068811,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 12","ARPU",0.075828,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 12","ASFA",0.216775,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 12","BRCA",0,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 12","CAME",0.044284,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 12","CIOC",0.210893,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 12","DEFA",0,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 12","ELCO",0,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 12","ELGL",0,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 12","ESCA",0,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 12","FEMI",0,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 12","GRCA",0.083977,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 12","HOBR",0,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 12","HOIN",0,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 12","KOMA",0.0147,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 12","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 12","LUBI",0,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 12","LUMI",0,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 12","LUSU",0,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 12","MEIM",0.058177,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 12","MURI",0,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 12","PHCI",0,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 12","PLER",0.072411,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 12","POSE",0,"year0","Poa secunda",0.00057,0,NA,NA
"dt 12","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 12","SIBE",0,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 12","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 12","STPU",0.154143,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 12","TRWI",0,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 13","ACAM",0.090019,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 13","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 13","ACST",0,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 13","AMME",0.086901,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 13","ARPU",0,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 13","ASFA",0.083263,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 13","BRCA",0,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 13","CAME",0,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 13","CIOC",0,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 13","DEFA",0.051163,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 13","ELCO",0,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 13","ELGL",0.082825,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 13","ESCA",0,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 13","FEMI",0.138933,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 13","GRCA",0,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 13","HOBR",0,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 13","HOIN",0,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 13","KOMA",0.050783,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 13","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 13","LUBI",0.132348,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 13","LUMI",0,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 13","LUSU",0.193765,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 13","MEIM",0,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 13","MURI",0.09,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 13","PHCI",0,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 13","PLER",0,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 13","POSE",0,"year0","Poa secunda",0.00057,0,NA,NA
"dt 13","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 13","SIBE",0,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 13","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 13","STPU",0,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 13","TRWI",0,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 14","ACAM",0.194136,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 14","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 14","ACST",0.091679,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 14","AMME",0.184797,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 14","ARPU",0,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 14","ASFA",0.043457,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 14","BRCA",0,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 14","CAME",0,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 14","CIOC",0,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 14","DEFA",0,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 14","ELCO",0,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 14","ELGL",0.083408,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 14","ESCA",0,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 14","FEMI",0,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 14","GRCA",0.065275,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 14","HOBR",0,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 14","HOIN",0.143775,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 14","KOMA",0.011956,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 14","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 14","LUBI",0.178343,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 14","LUMI",0,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 14","LUSU",0,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 14","MEIM",0,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 14","MURI",0,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 14","PHCI",0,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 14","PLER",0,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 14","POSE",0.003173,"year0","Poa secunda",0.00057,0,NA,NA
"dt 14","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 14","SIBE",0,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 14","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 14","STPU",0,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 14","TRWI",0,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 15","ACAM",0,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 15","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 15","ACST",0.208471,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 15","AMME",0,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 15","ARPU",0,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 15","ASFA",0,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 15","BRCA",0,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 15","CAME",0,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 15","CIOC",0,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 15","DEFA",0,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 15","ELCO",0.03015,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 15","ELGL",0,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 15","ESCA",0,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 15","FEMI",0,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 15","GRCA",0.094395,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 15","HOBR",0,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 15","HOIN",0.080779,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 15","KOMA",0.158056,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 15","LAPL",0.009913,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 15","LUBI",0,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 15","LUMI",0,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 15","LUSU",0.242319,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 15","MEIM",0,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 15","MURI",0,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 15","PHCI",0,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 15","PLER",0,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 15","POSE",0,"year0","Poa secunda",0.00057,0,NA,NA
"dt 15","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 15","SIBE",0.081545,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 15","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 15","STPU",0.082317,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 15","TRWI",0.012055,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 16","ACAM",0,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 16","ACMI",0.089898,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 16","ACST",0,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 16","AMME",0,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 16","ARPU",0,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 16","ASFA",0.0459,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 16","BRCA",0.067877,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 16","CAME",0,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 16","CIOC",0,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 16","DEFA",0,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 16","ELCO",0.043072,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 16","ELGL",0,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 16","ESCA",0.056972,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 16","FEMI",0.174419,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 16","GRCA",0,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 16","HOBR",0,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 16","HOIN",0,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 16","KOMA",0,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 16","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 16","LUBI",0,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 16","LUMI",0,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 16","LUSU",0.267031,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 16","MEIM",0.029003,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 16","MURI",0,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 16","PHCI",0.201594,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 16","PLER",0,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 16","POSE",0,"year0","Poa secunda",0.00057,0,NA,NA
"dt 16","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 16","SIBE",0,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 16","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 16","STPU",0,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 16","TRWI",0.024234,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 17","ACAM",0,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 17","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 17","ACST",0,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 17","AMME",0,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 17","ARPU",0.097529,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 17","ASFA",0,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 17","BRCA",0,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 17","CAME",0,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 17","CIOC",0.153912,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 17","DEFA",0.043145,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 17","ELCO",0,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 17","ELGL",0.060354,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 17","ESCA",0,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 17","FEMI",0,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 17","GRCA",0,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 17","HOBR",0,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 17","HOIN",0,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 17","KOMA",0.058225,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 17","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 17","LUBI",0.100952,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 17","LUMI",0.245081,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 17","LUSU",0,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 17","MEIM",0,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 17","MURI",0.151288,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 17","PHCI",0,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 17","PLER",0,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 17","POSE",0,"year0","Poa secunda",0.00057,0,NA,NA
"dt 17","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 17","SIBE",0.059735,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 17","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 17","STPU",0,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 17","TRWI",0.02978,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
"dt 18","ACAM",0.095418,"year0","Acmispon americanus",0.00364,0.088533547,NA,NA
"dt 18","ACMI",0,"year0","Achillea millefolium",0.00017,0.006356955,NA,NA
"dt 18","ACST",0,"year0","Acmispon strigosus",0.00139,0.02916849,NA,NA
"dt 18","AMME",0.06283,"year0","Amsinckia menziesii",0.0014,0.129041085,NA,NA
"dt 18","ARPU",0.105563,"year0","Aristida purpurea",0.00121,0,NA,NA
"dt 18","ASFA",0,"year0","Asclepias fascicularis",0.00391,0.001821949,NA,NA
"dt 18","BRCA",0.073895,"year0","Bromus carinatus",0.00689,0.140296082,NA,NA
"dt 18","CAME",0,"year0","Calandrinia menziesii (ciliata)",0.00073,0.037063727,NA,NA
"dt 18","CIOC",0,"year0","Cirsium occidentale",0.00593,0.009548198,NA,NA
"dt 18","DEFA",0,"year0","Deinandra fasciculata",0.00067,0,NA,NA
"dt 18","ELCO",0,"year0","Elymus (Leymus) condensatus",0.00223,0,NA,NA
"dt 18","ELGL",0,"year0","Elymus glaucus",0.00369,0.002531458,NA,NA
"dt 18","ESCA",0,"year0","Eschscholzia californica",0.00108,0.007541432,NA,NA
"dt 18","FEMI",0.154878,"year0","Festuca microstachys",0.00151,0.253290672,NA,NA
"dt 18","GRCA",0,"year0","Grindelia camporum",0.00198,0.074548922,NA,NA
"dt 18","HOBR",0.143555,"year0","Hordeum brachyantherum",0.00288,0.002554931,NA,NA
"dt 18","HOIN",0,"year0","Hordeum intercedens",0.00471,0,NA,NA
"dt 18","KOMA",0,"year0","Koeleria macrantha",0.00022,0,NA,NA
"dt 18","LAPL",0,"year0","Layia platyglossa",0.00058,0,NA,NA
"dt 18","LUBI",0,"year0","Lupinus bicolor",0.00391,0.000794985,NA,NA
"dt 18","LUMI",0,"year0","Lupinus microcarpus",0.02635,0,NA,NA
"dt 18","LUSU",0.131915,"year0","Lupinus succulentus",0.0271,0.004858119,NA,NA
"dt 18","MEIM",0,"year0","Melica imperfecta",0.00096,0,NA,NA
"dt 18","MURI",0,"year0","Muhlenbergia rigens",2e-04,0,NA,NA
"dt 18","PHCI",0.071899,"year0","Phacelia cicutaria",0.00082,0.20964141,NA,NA
"dt 18","PLER",0.060636,"year0","Plantago erecta",0.00154,0.001651048,NA,NA
"dt 18","POSE",0,"year0","Poa secunda",0.00057,0,NA,NA
"dt 18","RACA",0,"year0","Ranunculus californicus",0.00226,0.000355497,NA,NA
"dt 18","SIBE",0.099411,"year0","Sisyrinchium bellum",0.00138,0,NA,NA
"dt 18","SPAI",0,"year0","Sporobolus airoides",0.00024,0,NA,NA
"dt 18","STPU",0,"year0","Stipa pulchra",0.00485,0.000186707,NA,NA
"dt 18","TRWI",0,"year0","Trifolium willdenovii",0.00202,0.000214787,NA,NA
